show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s1732,Movie,A New York Christmas Wedding,Otoja Abit,United States,11/5/2020,2020,TV-MA,90 min,"Dramas, LGBTQ Movies, Romantic Movies"
s1733,Movie,Alone/Together,Antoinette Jadaone,Philippines,11/5/2020,2019,TV-14,103 min,"Dramas, International Movies, Romantic Movies"
s1734,TV Show,Carmel: Who Killed Maria Marta?,Alejandro Hartmann,Argentina,11/5/2020,2020,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s1735,Movie,Midnight at the Magnolia,Maxwell McGuire,Canada,11/5/2020,2020,TV-G,87 min,"Comedies, Romantic Movies"
s1736,Movie,One More Try,Ruel S. Bayani,Philippines,11/5/2020,2012,TV-14,102 min,"Dramas, International Movies, Romantic Movies"
s1737,Movie,Operation Christmas Drop,Martin Wood,United States,11/5/2020,2020,TV-G,96 min,"Children & Family Movies, Comedies, Romantic Movies"
s1745,Movie,The Beginning of Life,Estela Renner,Brazil,11/3/2020,2016,TV-PG,96 min,"Documentaries, International Movies"
s1740,Movie,Christmas with a Prince,Justin G. Dyck,Canada,11/4/2020,2018,TV-PG,86 min,"Comedies, Dramas, Romantic Movies"
s1742,Movie,Miss India,Narendra Nath,India,11/4/2020,2020,TV-PG,136 min,"Dramas, International Movies"
s1743,Movie,Felix Lobrecht: Hype,Jan-Peter Horns,Germany,11/3/2020,2020,TV-MA,60 min,Stand-Up Comedy
s1744,Movie,MOTHER,Tatsushi Omori,Japan,11/3/2020,2020,TV-14,127 min,"Dramas, International Movies"
s1748,Movie,Prospect,"Zeek Earl, Christopher Caldwell",Canada,11/2/2020,2018,R,100 min,"Sci-Fi & Fantasy, Thrillers"
s1750,Movie,Christmas Break-In,Michael Kampa,United States,11/1/2020,2019,TV-PG,87 min,"Children & Family Movies, Comedies"
s1752,Movie,Elf Pets: A Fox Cub’s Christmas Tale,Chanda Bell,United States,11/1/2020,2020,TV-Y,28 min,Children & Family Movies
s1753,Movie,Elf Pets: Santa’s Reindeer Rescue,Chanda Bell,United States,11/1/2020,2020,TV-Y,27 min,Children & Family Movies
s1754,Movie,Elliot the Littlest Reindeer,Jennifer Westcott,Canada,11/1/2020,2018,PG,90 min,Children & Family Movies
s1762,Movie,Little Monsters,Richard Greenberg,United States,11/1/2020,1989,PG,102 min,"Children & Family Movies, Comedies"
s1763,Movie,Mile 22,Peter Berg,United States,11/1/2020,2018,R,94 min,Action & Adventure
s1764,Movie,Piercing,Nicolas Pesce,United States,11/1/2020,2018,R,81 min,"Dramas, Independent Movies, Thrillers"
s1765,Movie,Snowden,Oliver Stone,United Kingdom,11/1/2020,2016,R,134 min,"Dramas, Thrillers"
s1768,Movie,The Impossible,J.A. Bayona,Spain,11/1/2020,2012,PG-13,114 min,Dramas
s1769,Movie,The Next Karate Kid,Christopher Cain,United States,11/1/2020,1994,PG,107 min,"Action & Adventure, Dramas, Sports Movies"
s1771,Movie,Wheels of Fortune,Shaun Paul Piccinino,United States,11/1/2020,2020,R,107 min,"Comedies, Sports Movies"
s1772,TV Show,Afronta! Facing It!,Juliana Vicente,Brazil,10/31/2020,2017,TV-PG,1 Season,"Docuseries, International TV Shows"
s1773,Movie,The 12th Man,Harald Zwart,Norway,10/31/2020,2018,TV-MA,130 min,"Action & Adventure, Dramas, International Movies"
s1775,Movie,Hidden in Plain Sight,Stacia Crawford,United States,10/30/2020,2019,TV-14,87 min,"Dramas, Independent Movies, Thrillers"
s1776,Movie,His House,Remi Weekes,United Kingdom,10/30/2020,2020,TV-14,93 min,"Horror Movies, Independent Movies"
s1777,Movie,In Line,Tope Oshin,Nigeria,10/30/2020,2017,TV-14,114 min,"Dramas, International Movies"
s1778,Movie,Kaali Khuhi,Terrie Samundra,India,10/30/2020,2020,TV-14,91 min,"Horror Movies, International Movies"
s1787,Movie,La Gran Ilusión,Antonio Díaz,Not Given,10/28/2020,2016,TV-14,50 min,International Movies
s1781,Movie,Rogue City,Olivier Marchal,France,10/30/2020,2020,TV-MA,116 min,"Dramas, International Movies, Thrillers"
s1784,Movie,The Day of the Lord,Santiago Alvarado Ilarri,Mexico,10/30/2020,2020,TV-MA,93 min,"Horror Movies, International Movies"
s1785,Movie,Pagpag: Nine Lives,Frasco Mortiz,Philippines,10/29/2020,2013,TV-14,106 min,"Horror Movies, International Movies"
s1786,Movie,Holidate,John Whitesell,United States,10/28/2020,2020,TV-MA,105 min,"Comedies, Romantic Movies"
s1788,Movie,Metallica Through The Never,Nimród Antal,United States,10/28/2020,2013,R,93 min,Music & Musicals
s1789,Movie,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,Poland,10/28/2020,2020,TV-MA,103 min,"Horror Movies, International Movies"
s1790,Movie,Secrets of the Saqqara Tomb,James Tovell,United States,10/28/2020,2020,TV-PG,114 min,Documentaries
s1793,Movie,Guillermo Vilas: Settling the Score,Matías Gueilburt,Argentina,10/27/2020,2020,TV-14,95 min,"Documentaries, International Movies, Sports Movies"
s1794,Movie,Sarah Cooper: Everything's Fine,Natasha Lyonne,United States,10/27/2020,2020,TV-MA,50 min,Comedies
s1795,TV Show,The Devil Punisher,"Chang Chin-jung, Chen Rong-hui",Taiwan,10/26/2020,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Mysteries"
s1796,Movie,Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,India,10/25/2020,2009,TV-14,150 min,"Comedies, International Movies, Music & Musicals"
s1797,Movie,Black '47,Lance Daly,Ireland,10/24/2020,2018,R,100 min,"Action & Adventure, Dramas, Independent Movies"
s1798,Movie,I Am Woman,Unjoo Moon,Australia,10/24/2020,2019,TV-MA,117 min,"Dramas, Music & Musicals"
s1799,Movie,Alice Junior,Gil Baroni,Brazil,10/23/2020,2019,TV-MA,87 min,"Comedies, International Movies, LGBTQ Movies"
s1801,TV Show,Move,"Thierry Demaizière, Alban Teurlai",United States,10/23/2020,2020,TV-MA,1 Season,"Docuseries, International TV Shows"
s1802,Movie,Over the Moon,Glen Keane,China,10/23/2020,2020,PG,100 min,"Children & Family Movies, Music & Musicals"
s1803,Movie,Shattered Memories,Chris Sivertson,United States,10/23/2020,2018,TV-14,86 min,"Dramas, Thrillers"
s1806,Movie,Bending the Arc,"Kief Davidson, Pedro Kos",United States,10/22/2020,2017,TV-MA,102 min,Documentaries
s1807,Movie,Cadaver,Jarand Herdal,Norway,10/22/2020,2020,TV-MA,87 min,"Horror Movies, International Movies"
s1808,Movie,Exes Baggage,Dan Villegas,Philippines,10/22/2020,2018,TV-MA,103 min,"Dramas, International Movies, Romantic Movies"
s1809,Movie,Fisherman's Friends,Chris Foggin,United Kingdom,10/22/2020,2019,PG-13,112 min,"Comedies, Dramas, Music & Musicals"
s1810,Movie,The Hows of Us,Cathy Garcia-Molina,Philippines,10/22/2020,2018,TV-14,120 min,"Dramas, International Movies, Romantic Movies"
s1811,Movie,The Hummingbird Project,Kim Nguyen,Canada,10/22/2020,2018,R,111 min,"Dramas, Independent Movies"
s1812,Movie,"Yes, God, Yes",Karen Maine,United States,10/22/2020,2020,R,78 min,"Comedies, Dramas, Independent Movies"
s1813,Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,Canada,10/21/2020,2020,TV-PG,51 min,"Documentaries, International Movies"
s1815,Movie,Rebecca,Ben Wheatley,United Kingdom,10/21/2020,2020,PG-13,123 min,"Dramas, Romantic Movies, Thrillers"
s1816,Movie,The Magic School Bus Rides Again The Frizz Connection,Richard Weston,Canada,10/20/2020,2020,TV-Y,46 min,Children & Family Movies
s1817,Movie,Tremors: Shrieker Island,Don Michael Paul,United States,10/20/2020,2020,PG-13,102 min,"Action & Adventure, Horror Movies"
s1818,Movie,Beirut Oh Beirut,Maroun Baghdadi,Lebanon,10/19/2020,1975,TV-14,106 min,"Classic Movies, Dramas, International Movies"
s1819,Movie,Bosta,Philippe Aractingi,Lebanon,10/19/2020,2005,TV-14,112 min,"Dramas, International Movies, Music & Musicals"
s1820,Movie,Ghadi,Amin Dora,Lebanon,10/19/2020,2013,TV-MA,101 min,"Comedies, Dramas, International Movies"
s1821,Movie,Heritages,Philippe Aractingi,Lebanon,10/19/2020,2014,TV-14,96 min,"Documentaries, International Movies"
s1822,Movie,Listen,Philippe Aractingi,Lebanon,10/19/2020,2017,TV-MA,103 min,"Dramas, Independent Movies, International Movies"
s1823,Movie,Out of Life,Maroun Baghdadi,France,10/19/2020,1991,TV-MA,94 min,"Classic Movies, Dramas, Independent Movies"
s1824,Movie,Panoptic,Rana Eid,Lebanon,10/19/2020,2017,TV-MA,69 min,"Documentaries, International Movies"
s1825,Movie,Taxi Ballad,Daniel Joseph,Lebanon,10/19/2020,2012,TV-MA,81 min,"Dramas, International Movies"
s1826,Movie,The Kite,Randa Chahal Sabbag,Lebanon,10/19/2020,2003,TV-MA,76 min,"Dramas, International Movies, Romantic Movies"
s1827,Movie,The Little Wars,Maroun Baghdadi,France,10/19/2020,1982,TV-14,108 min,"Dramas, Independent Movies, International Movies"
s1828,Movie,Under the Bombs,Philippe Aractingi,France,10/19/2020,2007,TV-MA,94 min,"Dramas, Independent Movies, International Movies"
s1830,Movie,West Beirut,Ziad Doueiri,France,10/19/2020,1999,TV-MA,106 min,"Dramas, International Movies"
s1831,Movie,What Did I Mess,Shady Hanna,Lebanon,10/19/2020,2018,TV-14,98 min,"Comedies, International Movies, Romantic Movies"
s1832,Movie,Whispers,Maroun Baghdadi,Lebanon,10/19/2020,1980,TV-14,93 min,"Documentaries, International Movies"
s1833,Movie,Zozo,Josef Fares,Sweden,10/19/2020,2005,TV-MA,99 min,"Dramas, International Movies"
s1834,Movie,ParaNorman,"Sam Fell, Chris Butler",United States,10/18/2020,2012,PG,93 min,"Children & Family Movies, Comedies"
s1854,Movie,Rooting for Roona,"Pavitra Chalam, Akshay Shankar",India,10/15/2020,2020,TV-PG,42 min,"Documentaries, International Movies"
s1836,Movie,I Am Vengeance: Retaliation,Ross Boyask,United Kingdom,10/17/2020,2020,R,82 min,Action & Adventure
s1837,Movie,Disconnect,"David 'Tosh' Gitonga, Michael Jones",Kenya,10/16/2020,2018,TV-MA,107 min,"Comedies, International Movies, Romantic Movies"
s1839,Movie,In a Valley of Violence,Ti West,United States,10/16/2020,2016,R,104 min,Action & Adventure
s1841,TV Show,Someone Has to Die,Manolo Caro,Mexico,10/16/2020,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s1843,Movie,The Trial of the Chicago 7,Aaron Sorkin,United States,10/16/2020,2020,R,130 min,Dramas
s1844,Movie,Unfriended,Levan Gabriadze,United States,10/16/2020,2014,R,83 min,"Horror Movies, Thrillers"
s1845,Movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,United States,10/15/2020,2020,TV-PG,99 min,Children & Family Movies
s1846,Movie,Batman: The Killing Joke,Sam Liu,United States,10/15/2020,2016,R,77 min,Action & Adventure
s1847,Movie,El-Khawaga's Dilemma,Peter Mimi,Egypt,10/15/2020,2018,TV-14,94 min,"Action & Adventure, Comedies, International Movies"
s1850,Movie,Kartini: Princess of Java,Hanung Bramantyo,Indonesia,10/15/2020,2017,TV-PG,118 min,"Dramas, International Movies"
s1851,Movie,Love Like the Falling Rain,Lasja Fauzia Susatyo,Indonesia,10/15/2020,2020,TV-14,87 min,"Dramas, International Movies, Romantic Movies"
s1856,Movie,A Choo,"Kevin Ko, Peter Tsi",Taiwan,10/14/2020,2020,TV-14,101 min,"Action & Adventure, International Movies, Romantic Movies"
s1857,Movie,BLACKPINK: Light Up the Sky,Caroline Suh,United States,10/14/2020,2020,TV-14,80 min,"Documentaries, Music & Musicals"
s1858,Movie,The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,Mexico,10/14/2020,2020,TV-MA,110 min,"Documentaries, International Movies"
s1859,Movie,Fida,Ken Ghosh,India,10/13/2020,2004,TV-14,117 min,"International Movies, Romantic Movies, Thrillers"
s1860,Movie,Octonauts & the Great Barrier Reef,Blair Simmons,United Kingdom,10/13/2020,2020,TV-Y,47 min,Children & Family Movies
s1862,Movie,Dil,Indra Kumar,India,10/12/2020,1990,TV-14,165 min,"Comedies, Dramas, International Movies"
s1863,Movie,Disco Dancer,B. Subhash,India,10/12/2020,1982,TV-14,134 min,"Cult Movies, Dramas, International Movies"
s1864,Movie,Hunterrr,Harshavardhan Kulkarni,India,10/12/2020,2015,TV-MA,140 min,"Comedies, International Movies, Romantic Movies"
s1866,Movie,Phir Hera Pheri,Neeraj Vora,India,10/12/2020,2006,TV-14,150 min,"Comedies, International Movies"
s1867,Movie,The Legend of Bhagat Singh,Rajkumar Santoshi,India,10/12/2020,2002,TV-14,156 min,"Dramas, International Movies"
s1868,Movie,House of the Witch,Alex Merkin,United States,10/11/2020,2017,TV-MA,86 min,Horror Movies
s1870,Movie,Ginny Weds Sunny,Puneet Khanna,India,10/9/2020,2020,TV-MA,126 min,"Comedies, International Movies, Romantic Movies"
s1871,Movie,My Step Dad: The Hippie,Meltem Bozoflu,Turkey,10/9/2020,2018,TV-MA,100 min,"Comedies, International Movies"
s1873,Movie,The Forty-Year-Old Version,Radha Blank,United States,10/9/2020,2020,R,124 min,"Comedies, Dramas, Independent Movies"
s1875,Movie,Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon",France,10/8/2020,2020,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals"
s1877,Movie,Palermo Hollywood,Eduardo Pinto,Argentina,10/8/2020,2004,TV-MA,106 min,"Dramas, International Movies"
s1880,Movie,Hubie Halloween,Steve Brill,United States,10/7/2020,2020,PG-13,104 min,"Comedies, Horror Movies"
s1881,TV Show,To the Lake,Pavel Kostomarov,Russia,10/7/2020,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
s1882,Movie,American Pie 9: Girls' Rules,Mike Elliott,United States,10/6/2020,2020,R,96 min,Comedies
s1883,Movie,Dolly Parton: Here I Am,Francis Whately,United Kingdom,10/6/2020,2019,TV-14,90 min,"Documentaries, Music & Musicals"
s1884,Movie,StarBeam: Halloween Hero,Jon Izen,Canada,10/6/2020,2020,TV-Y,33 min,Children & Family Movies
s1885,Movie,Walk Away from Love,Christopher Nolen,United States,10/6/2020,2017,TV-14,81 min,"Dramas, Romantic Movies"
s1887,Movie,David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",United Kingdom,10/4/2020,2020,PG,84 min,Documentaries
s1888,Movie,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,Canada,10/3/2020,2020,TV-MA,44 min,"Documentaries, LGBTQ Movies"
s1889,Movie,Good Game: The Beginning,Umut Aral,Turkey,10/3/2020,2018,TV-14,115 min,"Dramas, International Movies, Sports Movies"
s1892,Movie,A Chaster Marriage,Umut Kirca,Turkey,10/2/2020,2016,TV-14,94 min,"Comedies, International Movies, Romantic Movies"
s1931,Movie,Poacher,Tom Whitworth,United Kingdom,9/30/2020,2018,TV-MA,28 min,"Dramas, International Movies, Thrillers"
s1893,Movie,A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore",United States,10/2/2020,2020,TV-Y,22 min,Children & Family Movies
s1897,Movie,Òlòtūré,Kenneth Gyang,Nigeria,10/2/2020,2020,TV-MA,107 min,"Dramas, International Movies"
s1898,Movie,Serious Men,Sudhir Mishra,India,10/2/2020,2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
s1899,Movie,The Binding,Domenico de Feudis,Italy,10/2/2020,2020,TV-MA,93 min,"Horror Movies, International Movies, Thrillers"
s1900,Movie,Turkish Dance School,Burak Aksak,Turkey,10/2/2020,2017,TV-MA,107 min,"Comedies, International Movies, Romantic Movies"
s1901,Movie,Vampires vs. the Bronx,Oz Rodriguez,United States,10/2/2020,2020,PG-13,86 min,"Comedies, Horror Movies"
s1902,Movie,You've Got This,Salvador Espinosa,Mexico,10/2/2020,2020,TV-MA,112 min,"Comedies, International Movies, Romantic Movies"
s1903,Movie,All Because of You,Adrian Teh,Malaysia,10/1/2020,2020,TV-PG,102 min,"Action & Adventure, Comedies, International Movies"
s1904,Movie,An Ordinary Man,Brad Silberling,Serbia,10/1/2020,2017,R,91 min,"Dramas, Thrillers"
s1905,Movie,Carlos Almaraz: Playing with Fire,"Elsa Flores Almaraz, Richard J Montoya",United States,10/1/2020,2019,TV-14,83 min,"Documentaries, LGBTQ Movies"
s1906,Movie,Cold Harbour,Carey McKenzie,South Africa,10/1/2020,2013,TV-MA,73 min,"Action & Adventure, Dramas, International Movies"
s1910,Movie,Free State of Jones,Gary Ross,United States,10/1/2020,2016,R,139 min,"Action & Adventure, Dramas"
s1920,Movie,The American Game,Mostafa Abu Seif,Not Given,10/1/2020,2019,TV-PG,91 min,"Comedies, International Movies, Romantic Movies"
s1912,Movie,Human Nature,Adam Bolt,United States,10/1/2020,2019,TV-14,95 min,Documentaries
s1913,Movie,Hunt for the Wilderpeople,Taika Waititi,New Zealand,10/1/2020,2016,PG-13,101 min,"Action & Adventure, Comedies, Dramas"
s1914,Movie,I'm Leaving Now,"Lindsey Cordero, Armando Croda",United States,10/1/2020,2019,TV-MA,75 min,"Documentaries, International Movies"
s1917,Movie,Rize,David LaChapelle,United States,10/1/2020,2005,PG-13,87 min,"Documentaries, Music & Musicals"
s1921,Movie,The Book of Sun,Faris Godus,Saudi Arabia,10/1/2020,2020,TV-14,120 min,"Comedies, Independent Movies, International Movies"
s1922,Movie,The Outpost,Rod Lurie,United States,10/1/2020,2020,R,123 min,"Action & Adventure, Dramas"
s1925,Movie,We Have Always Lived in the Castle,Stacie Passon,United States,10/1/2020,2018,TV-14,95 min,"Dramas, Thrillers"
s1927,Movie,American Murder: The Family Next Door,Jenny Popplewell,United States,9/30/2020,2020,TV-MA,84 min,Documentaries
s1928,Movie,Baxu and the Giants,Florian Schott,Namibia,9/30/2020,2019,TV-PG,29 min,"Dramas, International Movies"
s1932,Movie,The Boys in the Band,Joe Mantello,United States,9/30/2020,2020,R,122 min,"Dramas, LGBTQ Movies"
s1935,Movie,Bully,Lee Hirsch,United States,9/29/2020,2012,PG-13,98 min,Documentaries
s1936,Movie,Michelle Buteau: Welcome to Buteaupia,Page Hurwitz,United States,9/29/2020,2020,TV-MA,59 min,Stand-Up Comedy
s1937,Movie,Welcome to Sudden Death,Dallas Jackson,United States,9/29/2020,2020,R,80 min,Action & Adventure
s1938,Movie,Amandla! A Revolution in Four Part Harmony,Lee Hirsch,South Africa,9/28/2020,2002,PG-13,103 min,"Documentaries, International Movies, Music & Musicals"
s1939,Movie,Ankhon Dekhi,Rajat Kapoor,India,9/28/2020,2013,TV-PG,104 min,"Dramas, Independent Movies, International Movies"
s1940,Movie,Dedh Ishqiya,Abhishek Chaubey,India,9/28/2020,2014,TV-14,146 min,"Comedies, Dramas, International Movies"
s1941,Movie,Golmaal Returns,Rohit Shetty,India,9/28/2020,2008,TV-MA,135 min,"Comedies, International Movies, Music & Musicals"
s1942,Movie,Ishq Vishk,Ken Ghosh,India,9/28/2020,2003,TV-PG,129 min,"Comedies, International Movies, Music & Musicals"
s1943,Movie,Ishqiya,Abhishek Chaubey,India,9/28/2020,2009,TV-14,115 min,"Comedies, International Movies, Romantic Movies"
s1944,Movie,Jab We Met,Imtiaz Ali,India,9/28/2020,2007,TV-14,143 min,"Comedies, International Movies, Music & Musicals"
s1945,Movie,Mann,Indra Kumar,India,9/28/2020,1999,TV-14,173 min,"Dramas, International Movies, Romantic Movies"
s1946,Movie,Manorama Six Feet Under,Navdeep Singh,India,9/28/2020,2007,TV-14,129 min,"Dramas, International Movies, Thrillers"
s1947,Movie,Welcome,Anees Bazmee,India,9/28/2020,2007,TV-PG,149 min,"Comedies, International Movies, Music & Musicals"
s1951,Movie,Time Out,Rikhil Bahadur,India,9/26/2020,2015,TV-14,98 min,"Dramas, Independent Movies, International Movies"
s1954,Movie,My Mother's Wound,Ozan Açıktan,Turkey,9/25/2020,2016,TV-MA,115 min,"Dramas, International Movies"
s1969,Movie,High & Low The Worst,Shigeaki Kubo,Japan,9/20/2020,2019,TV-MA,125 min,"Action & Adventure, International Movies"
s1958,Movie,Real Steel,Shawn Levy,United States,9/24/2020,2011,PG-13,127 min,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies"
s1960,Movie,Enola Holmes,Harry Bradbeer,United Kingdom,9/23/2020,2020,PG-13,124 min,"Action & Adventure, Children & Family Movies, Dramas"
s1961,Movie,Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",United States,9/22/2020,2020,TV-G,85 min,Documentaries
s1963,Movie,A Love Song for Latasha,Sophia Nahli Allison,United States,9/21/2020,2020,TV-PG,20 min,Documentaries
s1964,Movie,DTC Yukemuri Junjo Hen From High & Low,Norihisa Hiranuma,Japan,9/20/2020,2018,TV-PG,102 min,"Dramas, International Movies"
s1965,Movie,High & Low The Movie,Shigeaki Kubo,Japan,9/20/2020,2016,TV-MA,129 min,"Action & Adventure, International Movies"
s1966,Movie,High & Low The Movie 2 / End of Sky,"Shigeaki Kubo, Tsuyoshi Nakakuki",Japan,9/20/2020,2017,TV-MA,124 min,"Action & Adventure, International Movies"
s1967,Movie,High & Low The Movie 3 / Final Mission,"Shigeaki Kubo, Tsuyoshi Nakakuki",Japan,9/20/2020,2017,TV-MA,118 min,"Action & Adventure, International Movies"
